area_type,availability,location,bath,price,bhk,sqft
Super built-up  Area,Ready To Move,Attibele,1,11.0,1,450.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,64.5,2,1152.0
Plot  Area,Ready To Move,Other,3,100.0,3,1500.0
Plot  Area,Ready To Move,Nagavara,1,14.0,1,400.0
Super built-up  Area,Ready To Move,Malleshwaram,1,67.0,1,705.0
Super built-up  Area,Ready To Move,Hulimavu,2,51.0,2,1242.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,155.0,3,1700.0
Super built-up  Area,Ready To Move,Thanisandra,3,145.0,3,2144.0
Plot  Area,Ready To Move,Other,3,300.0,3,1846.0
Super built-up  Area,Ready To Move,KR Puram,2,56.8,2,1277.5
Super built-up  Area,Ready To Move,Marathahalli,2,52.0,2,1200.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,80.0,3,1550.0
Super built-up  Area,Ready To Move,Marathahalli,2,60.0,2,1200.0
Super built-up  Area,Ready To Move,Yelahanka,2,98.0,2,1327.0
Super built-up  Area,Ready To Move,Kothanur,2,58.0,2,1186.0
Built-up  Area,Ready To Move,Other,3,115.0,3,1783.0
Super built-up  Area,Ready To Move,Nagasandra,2,48.0,2,980.0
Super built-up  Area,Ready To Move,EPIP Zone,2,82.0,2,1285.0
Super built-up  Area,Ready To Move,Other,2,70.0,3,912.0
Super built-up  Area,Ready To Move,Kogilu,3,88.0,3,1909.0
Super built-up  Area,Ready To Move,Panathur,2,87.0,2,1359.0
Super built-up  Area,Soon to be Vacated,1st Block Jayanagar,4,428.0,4,2850.0
Super built-up  Area,Ready To Move,Kammasandra,3,65.0,3,1595.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,78.29,3,1475.0
Super built-up  Area,Ready To Move,Other,3,100.0,3,1580.0
Super built-up  Area,Ready To Move,Dasarahalli,2,65.0,2,1295.0
Built-up  Area,Ready To Move,Magadi Road,6,141.0,6,3600.0
Super built-up  Area,Ready To Move,Electronic City,1,27.0,1,589.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,3,98.29,3,1787.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,125.0,3,1787.0
Super built-up  Area,Ready To Move,Other,4,260.0,3,2405.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,72.0,2,1080.0
Plot  Area,Ready To Move,Other,2,115.0,2,1500.0
Super built-up  Area,Ready To Move,Hebbal,3,119.0,3,1900.0
Super built-up  Area,Soon to be Vacated,Dommasandra,2,22.14,2,805.0
Super built-up  Area,Ready To Move,Kalyan nagar,2,110.0,2,1290.0
Super built-up  Area,Soon to be Vacated,Chandapura,1,16.45,1,645.0
Super built-up  Area,Soon to be Vacated,Chandapura,1,16.45,1,645.0
Plot  Area,Ready To Move,Electronic City,3,90.0,3,1200.0
Super built-up  Area,Ready To Move,OMBR Layout,3,185.0,3,2420.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,93.0,2,1270.0
Plot  Area,Ready To Move,Horamavu Agara,2,95.0,4,1200.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,63.0,2,1108.0
Super built-up  Area,Ready To Move,Other,3,170.0,3,3045.0
Plot  Area,Ready To Move,Ambedkar Nagar,3,300.0,4,2900.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,43.9,2,1295.0
Super built-up  Area,Ready To Move,Budigere,2,59.9,2,1162.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,120.0,3,1804.0
Super built-up  Area,Ready To Move,Sarjapur,2,32.0,2,913.0
Super built-up  Area,Soon to be Vacated,Talaghattapura,3,131.0,3,1868.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,45.0,2,883.0
Plot  Area,Ready To Move,Other,2,110.0,2,900.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,132.0,3,2026.0
Super built-up  Area,Ready To Move,Balagere,2,80.9,2,1210.0
Super built-up  Area,Ready To Move,Kadugodi,3,91.45,3,1762.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,34.5,2,861.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,100.0,3,1420.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3,78.8,3,1490.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2,46.0,3,1075.0
Super built-up  Area,Soon to be Vacated,Old Madras Road,2,94.0,3,1425.0
Built-up  Area,Ready To Move,Kalena Agrahara,2,40.0,2,1200.0
Super built-up  Area,Ready To Move,Kaggadasapura,2,56.0,3,1280.0
Super built-up  Area,Ready To Move,Haralur Road,2,44.0,2,1027.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2,45.0,2,1069.0
Super built-up  Area,Ready To Move,Hebbal,2,98.2,2,1349.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,50.0,2,1005.0
Super built-up  Area,Ready To Move,Jakkur,2,75.0,2,1417.0
Plot  Area,Soon to be Vacated,TC Palaya,3,98.0,3,1475.0
Super built-up  Area,Ready To Move,Singasandra,2,29.5,2,1010.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,70.0,3,1425.0
Super built-up  Area,Ready To Move,Vijayanagar,3,100.0,3,1450.0
Super built-up  Area,Ready To Move,Kothanur,3,105.0,3,1847.0
Super built-up  Area,Ready To Move,AECS Layout,2,45.0,2,1100.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,26.0,1,525.0
Super built-up  Area,Ready To Move,Mallasandra,3,95.0,3,1665.0
Super built-up  Area,Ready To Move,JP Nagar,3,150.0,3,1850.0
Super built-up  Area,Ready To Move,Panathur,2,100.0,2,1438.0
Super built-up  Area,Ready To Move,Other,3,115.0,3,1560.0
Super built-up  Area,Soon to be Vacated,Malleshpalya,2,46.5,2,1140.0
Super built-up  Area,Ready To Move,Whitefield,2,75.0,2,1280.0
Built-up  Area,Ready To Move,Munnekollal,2,52.0,2,1170.0
Super built-up  Area,Ready To Move,Hennur Road,2,83.09,2,1385.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,65.0,2,1128.0
Plot  Area,Ready To Move,Marathahalli,2,128.0,2,1200.0
Plot  Area,Ready To Move,Other,4,165.0,4,1200.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,415.0,3,2390.0
Plot  Area,Ready To Move,Giri Nagar,4,400.0,4,2400.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,52.0,2,1200.0
Built-up  Area,Ready To Move,Other,3,95.0,3,1645.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,67.0,2,1000.0
Plot  Area,Ready To Move,Haralur Road,4,198.0,4,2650.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,74.0,2,1192.0
Super built-up  Area,Ready To Move,Ulsoor,3,215.0,3,2135.0
Built-up  Area,Ready To Move,Uttarahalli,2,45.0,2,1020.0
Plot  Area,Soon to be Vacated,Other,2,79.0,2,1200.0
Super built-up  Area,Ready To Move,Devarachikkanahalli,2,40.0,2,1250.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,76.0,2,1325.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,150.0,3,1850.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,21.53,1,525.0
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,65.0,2,1200.0
Plot  Area,Ready To Move,Other,2,140.0,3,1350.0
Super built-up  Area,Soon to be Vacated,Bommasandra,3,49.36,3,1260.0
Super built-up  Area,Ready To Move,Other,3,150.0,3,1800.0
Built-up  Area,Ready To Move,Ardendale,2,43.25,2,1100.0
Super built-up  Area,Ready To Move,Harlur,2,77.0,2,1508.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,57.0,2,1388.0
Super built-up  Area,Soon to be Vacated,Electronic City Phase II,1,28.35,1,630.0
Plot  Area,Ready To Move,Other,3,365.0,3,2000.0
Super built-up  Area,Ready To Move,Other,3,125.0,3,1762.0
Super built-up  Area,Ready To Move,Kodihalli,5,335.0,4,3252.0
Super built-up  Area,Soon to be Vacated,Magadi Road,2,50.0,2,1116.0
Super built-up  Area,Ready To Move,Narayanapura,2,89.04,2,1308.0
Super built-up  Area,Ready To Move,Other,3,90.0,3,1200.0
Plot  Area,Ready To Move,Other,4,230.0,4,1500.0
Built-up  Area,Ready To Move,Bannerghatta Road,1,18.5,1,500.0
Super built-up  Area,Ready To Move,Hennur,2,52.0,2,1075.0
Super built-up  Area,Soon to be Vacated,Chandapura,1,11.66,1,530.0
Built-up  Area,Ready To Move,Bellandur,2,66.0,2,1205.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,60.0,2,1075.0
Built-up  Area,Ready To Move,KR Puram,2,39.0,2,930.0
Super built-up  Area,Ready To Move,Hebbal,5,212.0,4,2483.0
Built-up  Area,Ready To Move,Kodigehaali,2,55.0,2,1166.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,65.0,2,1050.0
Super built-up  Area,Soon to be Vacated,Other,3,275.0,3,2023.71
Super built-up  Area,Ready To Move,Begur Road,2,46.8,2,1200.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,108.0,3,1600.0
Super built-up  Area,Soon to be Vacated,8th Phase JP Nagar,1,29.9,1,451.0
Super built-up  Area,Ready To Move,Electronic City,3,95.0,3,1800.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,115.0,3,1801.0
Built-up  Area,Ready To Move,Mahadevpura,2,90.0,2,1451.0
Super built-up  Area,Ready To Move,Begur Road,2,44.0,2,1160.0
Built-up  Area,Ready To Move,Vijayanagar,2,134.0,3,1580.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,94.0,2,1245.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,45.79,2,1145.0
Super built-up  Area,Ready To Move,Sompura,2,33.0,2,825.0
Super built-up  Area,Soon to be Vacated,Yeshwanthpur,3,108.0,3,1693.0
Built-up  Area,Ready To Move,Doddathoguru,2,32.0,2,1050.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2,55.0,2,1260.0
Built-up  Area,Ready To Move,Hosur Road,2,120.0,2,1656.0
Super built-up  Area,Ready To Move,Chandapura,3,45.0,3,1208.0
Super built-up  Area,Ready To Move,Whitefield,3,161.0,3,1910.0
Super built-up  Area,Ready To Move,Whitefield,4,230.0,4,3252.0
Plot  Area,Ready To Move,Battarahalli,2,65.0,2,1200.0
Super built-up  Area,Ready To Move,Other,4,175.0,4,1200.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,82.0,2,1175.0
Plot  Area,Ready To Move,Other,2,165.0,2,1000.0
Plot  Area,Ready To Move,Bannerghatta Road,2,125.0,4,1200.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,410.0,3,2390.0
Super built-up  Area,Ready To Move,Kengeri,1,18.5,1,370.923994
Super built-up  Area,Ready To Move,Kengeri,2,38.0,2,750.0
Super built-up  Area,Ready To Move,Billekahalli,2,62.0,2,1125.0
Plot  Area,Ready To Move,Nagarbhavi,3,150.0,3,1350.0
Plot  Area,Soon to be Vacated,Anandapura,2,55.0,2,1000.0
Built-up  Area,Soon to be Vacated,Bommasandra Industrial Area,2,31.48,2,1090.0
Plot  Area,Ready To Move,TC Palaya,2,60.0,2,1200.0
Super built-up  Area,Ready To Move,Budigere,4,103.0,3,1991.0
Super built-up  Area,Soon to be Vacated,Bommasandra,2,26.5,2,1060.0
Super built-up  Area,Ready To Move,Ambalipura,2,75.0,2,1105.0
Built-up  Area,Ready To Move,Hoodi,2,67.0,2,985.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2,55.0,2,1120.0
Super built-up  Area,Ready To Move,Marathahalli,3,140.0,3,1933.0
Built-up  Area,Soon to be Vacated,Hosur Road,2,69.0,2,1194.0
Super built-up  Area,Ready To Move,Brookefield,2,69.0,2,1150.0
Super built-up  Area,Ready To Move,Yelenahalli,2,47.12,2,1240.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,48.1,2,1419.0
Super built-up  Area,Ready To Move,Other,4,240.0,3,2150.0
Super built-up  Area,Ready To Move,Dasanapura,1,40.0,2,708.0
Plot  Area,Ready To Move,Kasavanhalli,4,110.0,3,1000.0
Super built-up  Area,Ready To Move,Bellandur,2,76.0,2,1250.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,95.0,3,1400.0
Super built-up  Area,Ready To Move,Ardendale,3,100.0,3,1750.0
Super built-up  Area,Ready To Move,Vittasandra,2,71.0,2,1404.0
Built-up  Area,Soon to be Vacated,Electronic City,1,34.65,1,630.0
Super built-up  Area,Ready To Move,Harlur,3,135.0,3,1752.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,55.47,2,1295.0
Plot  Area,Ready To Move,Giri Nagar,3,252.0,3,1800.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,74.03,2,1346.0
Plot  Area,Ready To Move,Other,4,200.0,4,1200.0
Super built-up  Area,Ready To Move,Hormavu,2,55.0,2,1150.0
Built-up  Area,Ready To Move,Other,4,325.0,4,3309.0
Super built-up  Area,Ready To Move,AECS Layout,3,98.0,3,1620.0
Super built-up  Area,Soon to be Vacated,Marathahalli,2,46.96,2,950.0
Super built-up  Area,Ready To Move,Other,9,360.0,11,5000.0
Built-up  Area,Ready To Move,Padmanabhanagar,2,63.0,2,1020.0
Built-up  Area,Ready To Move,Chikkalasandra,2,50.0,2,1100.0
Super built-up  Area,Ready To Move,Other,2,126.0,2,1150.0
Super built-up  Area,Soon to be Vacated,Hebbal,2,130.0,3,1760.0
Super built-up  Area,Ready To Move,Ambalipura,3,110.0,3,1800.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,54.0,2,1070.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,220.0,4,1500.0
Plot  Area,Ready To Move,Vidyaranyapura,2,95.0,2,1440.0
Super built-up  Area,Ready To Move,Amruthahalli,2,40.0,2,900.0
Built-up  Area,Ready To Move,Other,4,230.0,4,1200.0
Super built-up  Area,Ready To Move,Koramangala,2,165.0,2,1320.0
Super built-up  Area,Soon to be Vacated,Kodigehalli,2,98.0,2,1270.0
Super built-up  Area,Ready To Move,Other,2,74.0,2,1200.0
Super built-up  Area,Ready To Move,Subramanyapura,2,50.17,2,929.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,400.0,4,3600.0
Super built-up  Area,Ready To Move,Chikkalasandra,2,49.0,2,1208.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,60.0,2,1130.0
Super built-up  Area,Ready To Move,Other,3,120.0,3,1753.0
Super built-up  Area,Soon to be Vacated,Hoodi,2,94.42,2,1196.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,52.5,2,1150.0
Super built-up  Area,Soon to be Vacated,Electronic City,2,63.0,2,1128.0
Built-up  Area,Ready To Move,Kereguddadahalli,2,32.0,2,950.0
Plot  Area,Soon to be Vacated,Other,2,45.0,2,720.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,95.0,3,1511.0
Built-up  Area,Ready To Move,Shampura,2,26.0,1,375.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2,38.0,2,1062.0
Super built-up  Area,Ready To Move,JP Nagar,2,35.0,2,1000.0
Super built-up  Area,Soon to be Vacated,Kambipura,2,45.0,2,883.0
Super built-up  Area,Soon to be Vacated,Sarjapur  Road,2,70.0,2,1195.0
Plot  Area,Ready To Move,Other,3,165.0,4,1200.0
Built-up  Area,Ready To Move,Other,1,41.0,1,700.0
Super built-up  Area,Ready To Move,Vittasandra,2,67.0,2,1246.0
Super built-up  Area,Ready To Move,Begur Road,3,65.0,3,1584.0
Plot  Area,Ready To Move,Sector 7 HSR Layout,5,275.0,4,3000.0
Built-up  Area,Soon to be Vacated,Other,3,115.0,3,1595.0
Super built-up  Area,Ready To Move,Other,2,110.0,2,1353.0
Super built-up  Area,Soon to be Vacated,Electronic City,3,125.0,3,1599.0
Super built-up  Area,Ready To Move,Whitefield,2,70.0,2,1150.0
Super built-up  Area,Ready To Move,KR Puram,2,42.74,2,1155.0
Built-up  Area,Ready To Move,Other,2,85.0,1,1200.0
Super built-up  Area,Soon to be Vacated,Electronic City Phase II,2,25.0,2,1000.0
Built-up  Area,Ready To Move,Rajiv Nagar,3,160.0,3,1867.0
Super built-up  Area,Soon to be Vacated,Ramagondanahalli,2,47.0,2,1251.0
Super built-up  Area,Ready To Move,Arekere,2,45.0,2,1222.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,66.0,3,1170.0
Super built-up  Area,Ready To Move,Hebbal,4,245.0,3,2400.0
Super built-up  Area,Ready To Move,HSR Layout,2,68.0,2,1372.0
Super built-up  Area,Ready To Move,Mico Layout,9,210.0,9,5000.0
Built-up  Area,Ready To Move,Other,3,528.0,5,3000.0
Built-up  Area,Soon to be Vacated,Whitefield,3,101.0,3,1768.0
Built-up  Area,Ready To Move,Other,2,90.0,3,1325.0
Super built-up  Area,Soon to be Vacated,Electronic City,3,99.0,3,1599.0
Plot  Area,Ready To Move,Other,3,499.0,3,2610.0
Super built-up  Area,Ready To Move,Uttarahalli,2,63.0,2,1286.0
Built-up  Area,Ready To Move,Kammanahalli,5,140.0,5,2845.0
Super built-up  Area,Soon to be Vacated,Hennur Road,2,63.77,2,1317.5
Super built-up  Area,Soon to be Vacated,Munnekollal,2,53.67,2,1102.0
Built-up  Area,Ready To Move,Chikkabanavar,2,40.0,2,950.0
Super built-up  Area,Soon to be Vacated,Kanakpura Road,1,27.25,1,525.0
Built-up  Area,Ready To Move,Attibele,2,25.0,2,656.0
Plot  Area,Ready To Move,Marathahalli,4,175.0,4,1780.0
Super built-up  Area,Ready To Move,Other,2,80.0,2,1056.0
Super built-up  Area,Soon to be Vacated,Bannerghatta Road,1,33.32,1,595.0
Super built-up  Area,Soon to be Vacated,7th Phase JP Nagar,3,160.0,3,2225.0
Super built-up  Area,Soon to be Vacated,Bommasandra,2,28.15,2,1126.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,84.0,3,1490.0
Plot  Area,Ready To Move,HRBR Layout,4,300.0,4,2000.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,100.0,3,1550.0
Built-up  Area,Ready To Move,Whitefield,4,315.0,4,4144.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,125.0,3,2100.0
Super built-up  Area,Ready To Move,Vittasandra,2,69.3,2,1404.0
Plot  Area,Ready To Move,Sarjapur  Road,4,225.0,4,2230.0
Super built-up  Area,Ready To Move,Other,3,120.0,3,1544.0
Super built-up  Area,Soon to be Vacated,Banashankari Stage III,2,58.7,3,1305.0
Super built-up  Area,Ready To Move,Marathahalli,2,80.0,2,1230.0
Built-up  Area,Ready To Move,Gottigere,2,45.0,2,967.0
Built-up  Area,Ready To Move,Other,1,36.0,1,540.0
Super built-up  Area,Soon to be Vacated,Hormavu,1,46.0,1,715.0
Super built-up  Area,Ready To Move,Whitefield,3,313.0,3,2500.0
Super built-up  Area,Ready To Move,Other,3,180.0,3,1578.0
Super built-up  Area,Ready To Move,Mysore Road,2,48.95,2,1020.0
Super built-up  Area,Ready To Move,Jigani,2,40.0,2,1020.0
Super built-up  Area,Ready To Move,Koramangala,2,102.0,2,1253.0
Super built-up  Area,Ready To Move,Nehru Nagar,2,38.0,2,961.0
Built-up  Area,Ready To Move,Kanakapura,3,75.0,3,1419.0
Super built-up  Area,Ready To Move,Harlur,3,150.0,3,1709.0
Plot  Area,Ready To Move,Other,2,115.0,2,1600.0
Super built-up  Area,Soon to be Vacated,Other,1,18.5,1,416.0
Carpet  Area,Ready To Move,Sanjay nagar,2,98.0,2,1100.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,85.0,3,1450.0
Super built-up  Area,Soon to be Vacated,Konanakunte,3,223.0,3,2791.0
